"Monitor PT1000 Minus Bottom Mid TEC TAir"
Date,VALUE_CONVERTED
"1293088269000","18.76"
"1293088734000","18.78"
"1293088967000","18.76"
"1293093849000","18.74"
"1293094082000","18.76"
"1293096639000","18.74"
"1293096872000","18.76"
"1293097802000","18.74"
"1293098267000","18.76"
"1293098732000","18.74"
"1293099197000","18.76"
"1293104544000","18.74"
"1293104777000","18.76"
"1293105009000","18.74"
"1293105707000","18.76"
"1293105939000","18.74"
"1293106172000","18.76"
"1293106637000","18.74"
"1293108032000","18.76"
"1293109427000","18.74"
"1293109659000","18.76"
"1293110124000","18.74"
"1293110357000","18.76"
"1293110589000","18.74"
"1293110822000","18.76"
"1293111054000","18.74"
"1293111287000","18.76"
"1293111519000","18.74"
"1293111752000","18.76"
"1293112217000","18.74"
"1293112914000","18.76"
"1293113844000","18.74"
"1293114077000","18.76"
"1293114542000","18.74"
"1293114774000","18.76"
"1293115007000","18.74"
